id,english,tigrina,registeredby
616,mongolian,ሞንጎልያዊ,gide
617,montenegrin,ሞንተነግሪያዊ,gide
618,montserratian,ሞንትሰራያዊ,gide
619,moroccan,ሞሮካዊ,gide
620,mosotho,ሞሶታዊ,gide
621,mozambican,ሞዞምቢካዊ,gide
622,namibian,ናሚብያዊ,gide
623,nauruan,ናውራዊ,gide
624,nepalese,ነፓላዊ,gide
625,new zealander,ኒውዚላንዳዊ,gide
626,nicaraguan,ኒኮራጉያዊ,gide
627,nigerian,ኒጀራዊ,gide
628,nigerien,ናይጀርያዊ,gide
629,niuean,ኒኡያዊ,gide
630,north korean,ሰሜን ኮርያዊ,gide
631,northern irish,ሰሜን ኣይሪሻዊ,gide
632,norwegian,ኖርወያዊ,gide
633,omani,ኦማኒያዊ,gide
634,pakistani,ፓኪስታናዊ,gide
635,palauan,ፓላዊ,gide
636,palestinian,ፍልስጠማዊ,gide
637,panamanian,ፓናማዊ,gide
638,papua new guinean,ፓፑ ኒውጊናዊ,gide
639,paraguayan,ፓራጓዊ,gide
640,peruvian,ፐሩቪያዊ,gide
641,pitcairn islander,ፒትካርን ኣይላንደራዊ,gide
642,polish,ፖላንዳዊ,gide
643,portuguese,ፖርቱጓላዊ,gide
644,prydeinig,ፕራደኒጋዊ,gide
645,puerto rican,ፖርቶሪካዊ,gide
646,qatari,ቀጠራዊ,gide
647,romanian,ሮማዊ,gide
648,russian,ሩስያዊ,gide
649,rwandan,ሩዋንዳዊ,gide
650,salvadorean,ሳልቫዶርያዊ,gide
651,sammarinese,ሳማራዊ,gide
652,samoan,ሳሞናዊ,gide
653,sao tomean,ሳኦቶማንያዊ,gide
654,saudi arabian,ሱዕዲዓረባዊ,gide
655,scottish,ስኮታዊ,gide
656,senegalese,ሰነጋላዊ,gide
657,serbian,ሰርብያዊ,gide
658,sierra leonean,ሰራልዮናዊ,gide
659,singaporean,ሲንጋፖራዊ,gide
660,slovak,ስሎቫካዊ,gide
661,slovenian,ስሎቫንያዊ,gide
662,solomon islander,ሰሎሞን ኣይላንደር,gide
663,somali,ሶማላዊ,gide
664,south african,ደቡብ ኣፍሪቃዊ,gide
665,south korean,ደቡብ ኮርያዊ,gide
666,south sudanese,ደቡብ ሱዳናዊ,gide
667,spanish,ስጳኛዊ,gide
668,sri lankan,ስሪላንካዊ,gide
669,st helenian,ሀለንያዊ,gide
670,st lucian,ሉሽያዊ,gide
671,stateless,ስታትለስ,gide
672,sudanese,ሱዳናዊ,gide
673,surinamese,ሱራኒማዊ,gide
674,swazi,ስዋዛዊ,gide
675,swedish,ስዊድናዊ,gide
676,swiss,ስዊዛዊ,gide
677,syrian,ሶርያዊ,gide
678,taiwanese,ታይዋናዊ,gide
679,tajik,ታጅካዊ,gide
680,tanzanian,ታንዛንያዊ,gide
681,thai,ታያዊ,gide
682,togolese,ቶጎለሳዊ,gide
683,tongan,ቶንጋናዊ,gide
684,trinidadian,ትሪንዳድያዊ,gide
685,tristanian,ትሪስታንያዊ,gide
686,tunisian,ቱኒዛዊ,gide
687,turkish,ቱርካዊ,gide
688,turkmen,ቱርክማናዊ,gide
689,turks and caicos islander,ቱርክስ ኣይላንደራዊ,gide
690,tuvaluan,ቱቫላዊ,gide
691,ugandan,ኡጋንዳዊ,gide
692,ukrainian ,ዩክረናዊ,gide
693,uruguayan,ኡራጓዊ,gide
694,uzbek,ኡዝበካዊ,gide
695,vatican citizen,ቫቲካናዊ,gide
696,venezuelan,ቨነዝወላዊ,gide
697,vietnamese,ቨትናማዊ,gide
698,vincentian,ቪንሰንታዊ,gide
699,wallisian,ዋሊሳዊ,gide
700,welsh,ወልሻዊ,gide
701,yemeni,የመናዊ,gide
702,zambian,ዛምብያዊ,gide
703,zimbabwean,ዚምባብወዊ,gide
704,afghan,ኣፍጋኒስታዊት,gide
705,albanian,ኣልባኒያዊት,gide
706,algerian,ኣልጀሪያዊት,gide
707,american,ኣመሪካዊት,gide
708,andorran,ኣንዶራዊት,gide
709,angolan,ኣንጎላዊት,gide
710,anguillan,ኣንጉሊያናዊት,gide
711,argentine,ኣርጀንቲናዊት,gide
712,armenian,ኣርመኒያዊት,gide
713,australian,ኣወስትራሊያዊት,gide
714,austrian,ኣውስትርያዊት,gide
715,azerbaijani,ኣዘርባጃዊት,gide
716,bahamian,ባሃማዊት,gide
717,bahraini,ባሕርያዊት,gide
718,bangladeshi,ባንግልድሻዊት,gide
719,barbadian,ባርባድያዊት,gide
720,belarusian,በላሩስያዊት,gide
721,belgian,በልጅማዊት,gide
722,belizean,በሊዚያዊት,gide
723,beninese,በኒነስያዊት,gide
724,bermudian,በርሙዲያዊት,gide
725,bhutanese,ብሁታንሰያዊት,gide
726,bolivian,ቦሊቪያዊት,gide
727,botswanan,ቦትስዋንያዊት,gide
728,brazilian,ብራዚሊያዊት,gide
729,british,ብርጣንያዊት,gide
730,british virgin islander,ብርጣንያዊት,gide
731,bruneian,ብሩኒያዊት,gide
732,bulgarian,ቡልጋርያዊት,gide
733,burkinan,ቡርኪናንት,gide
734,burmese,ቡርመስያዊት,gide
735,burundian,ቡሩንድያዊት,gide
736,cambodian,ኮምቦድያዊት,gide
737,cameroonian,ካመራዊት,gide
738,canadian,ካናዳዊት,gide
739,cape verdean,ኬፕቨርዳዊት,gide
740,cayman islander,ሳይማንያዊት,gide
741,central african,ማእከላይ ኣፍሪቃዊት,gide
742,chadian,ጫዳዊት,gide
743,chilean,ቺለዊት,gide
744,chinese,ቻይናዊት,gide
745,citizen of antigua and barbuda,ባርቡዳዊት,gide
746,citizen of bosnia and herzegovina,ሀርዞጎቪናዊት,gide
747,citizen of guinea-bissau,ጊኒቢሳዊት,gide
748,citizen of kiribati,ኪሪባቲያዊት,gide
749,citizen of seychelles,ሲሸሊሳዊት,gide
750,citizen of the dominican republic,ዶሚኒካዊት,gide
751,citizen of vanuatu,ቫኑታዊት,gide
752,colombian,ኮሎምቢያዊት,gide
753,comoran,ኮሞራንያዊት,gide
754,congolese (congo),ኮንጋዊት,gide
755,congolese (drc),ኮንጎለሳዊት,gide
756,cook islander,ኮክኣይላንዳዊት,gide
757,costa rican,ኮስታሪካዊት,gide
758,croatian,ክሮሽያዊት,gide
759,cuban,ኩባዊት,gide
760,cymraes,ሲምራስያዊት,gide
761,cymro,ስይምራዊት,gide
762,cypriot,ሳይፕሮይታዊት,gide
763,czech,ስዘቻዊት,gide
764,danish,ዳኒሻዊት,gide
765,djiboutian,ጅቡታዊት,gide
766,dominican,ዶሚኒካዊት,gide
767,dutch,ነዘርላንዳዊት,gide
768,east timorese,ቲሞረሳዊት,gide
769,ecuadorean,ኢኳዶርያዊት,gide
770,egyptian,ግብጻዊት,gide
771,emirati,ኢሚራታዊት,gide
772,english,እንግሊዛዊት,gide
773,equatorial guinean,ኢኳቶሪኣል ጊኒት,gide
774,eritrean,ኤርትራዊት,gide
775,estonian,ኢስቶንያዊት,gide
776,ethiopian,ኢትዮጵያዊት,gide
777,faroese,ፋሮስያዊት,gide
778,fijian,ፊጂያናዊት,gide
779,filipino,ፍሊፒናዊት,gide
780,finnish,ፊኒሻዊት,gide
781,french,ፈረንሳዊት,gide
782,gabonese,ጋቦናዊት,gide
783,gambian,ጋምብያዊት,gide
784,georgian,ጆርጅያዊት,gide
785,german,ጀርመናዊት,gide
786,ghanaian,ጋናዊት,gide
787,gibraltarian,ጀበልጣርያዊት,gide
788,greek,ግሪኻዊት,gide
789,greenlandic,ግሪንላንዳዊት,gide
790,grenadian,ግረናዲያናዊት,gide
791,guamanian,ጉማኒያናዊት,gide
792,guatemalan,ጓቲማላዊት,gide
793,guinean,ጒናዊት,gide
794,guyanese,ጉያነሳዊት,gide
795,haitian,ሃይትያናዊት,gide
796,honduran,ሆንዱራናዊት,gide
797,hong konger,ሆንጎንጋዊት,gide
798,hungarian,ሃንጋሪያዊት,gide
799,icelandic,ኣይስላንዳዊት,gide
800,indian,ህንዳዊት,gide
801,indonesian,ኢንዶነጅያዊት,gide
802,iranian,ኢራናዊት,gide
803,iraqi,ዒራቓዊት,gide
804,irish,ኣይሪሻዊት,gide
805,israeli,እስራኤላዊት,gide
806,italian,ኢታሊያዊት,gide
807,ivorian,ኣይቮሪያዊት,gide
808,jamaican,ጀማይካዊት,gide
809,japanese,ጃፓናዊት,gide
810,jordanian,ጆርዳናዊት,gide
811,kazakh,ካዛክሃዊት,gide
812,kenyan,ከንያዊት,gide
813,kittitian,ኪቲሻናዊት,gide
814,kosovan,ኮሶቫዊት,gide
815,kuwaiti,ኩወታዊት,gide
816,kyrgyz,ኪርጊዛዊት,gide
817,lao,ላዮዊት,gide
818,latvian,ላቲቪያዊት,gide
819,lebanese,ሊባኖሳዊት,gide
820,liberian,ላይበርያዊት,gide
821,libyan,ሊብያዊት,gide
822,liechtenstein citizen,ሊኽተንስታዊት,gide
823,lithuanian,ሊትወንያዊት,gide
824,luxembourger,ሉክሰንበርገራዊት,gide
825,macanese,መካንያዊት,gide
826,macedonian,መሰዶንያዊት,gide
827,malagasy,ማላጋሲያዊት,gide
828,malawian,ማላዊት,gide
829,malaysian,ማለጅያዊት,gide
830,maldivian,ማልዲቭያዊት,gide
831,malian,ማላዊት,gide
832,maltese,ማልታዊት,gide
833,marshallese,ማርሸላሳዊት,gide
834,martiniquais,ማርቲኒካዊት,gide
835,mauritanian,ማውሪታንያዊት,gide
836,mauritian,ማውሪታንያዊት,gide
837,mexican,ሞክሲካዊት,gide
838,micronesian,ሚክሮኒጅያዊት,gide
839,moldovan,ሞልዶቫናዊት,gide
840,monegasque,ሞነጋስካዊት,gide
841,mongolian,ሞንጎልያዊት,gide
842,montenegrin,ሞንተነግሪያዊት,gide
843,montserratian,ሞንትሰራያዊት,gide
844,moroccan,ሞሮካዊት,gide
845,mosotho,ሞሶታዊት,gide
846,mozambican,ሞዞምቢካዊት,gide
847,namibian,ናሚብያዊት,gide
848,nauruan,ናውራዊት,gide
849,nepalese,ነፓላዊት,gide
850,new zealander,ኒውዚላንዳዊት,gide
851,nicaraguan,ኒኮራጉያዊት,gide
852,nigerian,ኒጀራዊት,gide
853,nigerien,ናይጀርያዊት,gide
854,niuean,ኒኡያዊት,gide
855,north korean,ሰሜን ኮርያዊት,gide
856,northern irish,ሰሜን ኣይሪሻዊት,gide
857,norwegian,ኖርወያዊት,gide
858,omani,ኦማኒያዊት,gide
859,pakistani,ፓኪስታናዊት,gide
860,palauan,ፓላዊት,gide
861,palestinian,ፍልስጠማዊት,gide
862,panamanian,ፓናማዊት,gide
863,papua new guinean,ፓፑ ኒውጊናዊት,gide
864,paraguayan,ፓራጓዊት,gide
865,peruvian,ፐሩቪያዊት,gide
866,pitcairn islander,ፒትካርን ኣይላንደራዊት,gide
867,polish,ፖላንዳዊት,gide
868,portuguese,ፖርቱጓላዊት,gide
869,prydeinig,ፕራደኒጋዊት,gide
870,puerto rican,ፖርቶሪካዊት,gide
871,qatari,ቀጠራዊት,gide
872,romanian,ሮማዊት,gide
873,russian,ሩስያዊት,gide
874,rwandan,ሩዋንዳዊት,gide
875,salvadorean,ሳልቫዶርያዊት,gide
876,sammarinese,ሳማራዊት,gide
877,samoan,ሳሞናዊት,gide
878,sao tomean,ሳኦቶማንያዊት,gide
879,saudi arabian,ሱዕዲዓረባዊት,gide
880,scottish,ስኮታዊት,gide
881,senegalese,ሰነጋላዊት,gide
882,serbian,ሰርብያዊት,gide
883,sierra leonean,ሰራልዮናዊት,gide
884,singaporean,ሲንጋፖራዊት,gide
885,slovak,ስሎቫካዊት,gide
886,slovenian,ስሎቫንያዊት,gide
887,solomon islander,ሰሎሞን ኣይላንደርት,gide
888,somali,ሶማላዊት,gide
889,south african,ደቡብ ኣፍሪቃዊት,gide
890,south korean,ደቡብ ኮርያዊት,gide
891,south sudanese,ደቡብ ሱዳናዊት,gide
892,spanish,ስጳኛዊት,gide
893,sri lankan,ስሪላንካዊት,gide
894,st helenian,ሀለንያዊት,gide
895,st lucian,ሉሽያዊት,gide
896,stateless,ስታትለስት,gide
897,sudanese,ሱዳናዊት,gide
898,surinamese,ሱራኒማዊት,gide
899,swazi,ስዋዛዊት,gide
900,swedish,ስዊድናዊት,gide
901,swiss,ስዊዛዊት,gide
902,syrian,ሶርያዊት,gide
903,taiwanese,ታይዋናዊት,gide
904,tajik,ታጅካዊት,gide
905,tanzanian,ታንዛንያዊት,gide
906,thai,ታያዊት,gide
907,togolese,ቶጎለሳዊት,gide
908,tongan,ቶንጋናዊት,gide
909,trinidadian,ትሪንዳድያዊት,gide
910,tristanian,ትሪስታንያዊት,gide
911,tunisian,ቱኒዛዊት,gide
912,turkish,ቱርካዊት,gide
913,turkmen,ቱርክማናዊት,gide
914,turks and caicos islander,ቱርክስ ኣይላንደራዊት,gide
915,tuvaluan,ቱቫላዊት,gide
916,ugandan,ኡጋንዳዊት,gide
917,ukrainian ,ዩክረናዊት,gide
918,uruguayan,ኡራጓዊት,gide
919,uzbek,ኡዝበካዊት,gide
920,vatican citizen,ቫቲካናዊት,gide
921,venezuelan,ቨነዝወላዊት,gide
922,vietnamese,ቨትናማዊት,gide
923,vincentian,ቪንሰንታዊት,gide
924,wallisian,ዋሊሳዊት,gide
925,welsh,ወልሻዊት,gide
926,yemeni,የመናዊት,gide
927,zambian,ዛምብያዊት,gide
928,zimbabwean,ዚምባብወዊት,gide
929,afghans,ኣፍጋኒስታዊያን,gide
930,albanians,ኣልባኒያዊያን,gide
931,algerians,ኣልጀሪያዊያን,gide
932,americans,ኣመሪካዊያን,gide
933,andorrans,ኣንዶራዊያን,gide
934,angolans,ኣንጎላዊያን,gide
935,anguillans,ኣንጉሊያናዊያን,gide
936,argentines,ኣርጀንቲናዊያን,gide
937,armenians,ኣርመኒያዊያን,gide
938,australians,ኣወስትራሊያዊያን,gide
939,austrians,ኣውስትርያዊያን,gide
940,azerbaijanis,ኣዘርባጃዊያን,gide
941,bahamians,ባሃማዊያን,gide
942,bahrainis,ባሕርያዊያን,gide
943,bangladeshis,ባንግልድሻዊያን,gide
944,barbadians,ባርባድያዊያን,gide
945,belarusians,በላሩስያዊያን,gide
946,belgians,በልጅማዊያን,gide
947,belizeans,በሊዚያዊያን,gide
948,benineses,በኒነስያዊያን,gide
949,bermudians,በርሙዲያዊያን,gide
950,bhutaneses,ብሁታንሰያዊያን,gide
951,bolivians,ቦሊቪያዊያን,gide
952,botswanans,ቦትስዋንያዊያን,gide
953,brazilians,ብራዚሊያዊያን,gide
954,britishs,ብርጣንያዊያን,gide
955,british virgin islanders,ብርጣንያዊያን,gide
956,bruneians,ብሩኒያዊያን,gide
957,bulgarians,ቡልጋርያዊያን,gide
958,burkinans,ቡርኪናንያን,gide
959,burmeses,ቡርመስያዊያን,gide
960,burundians,ቡሩንድያዊያን,gide
961,cambodians,ኮምቦድያዊያን,gide
962,cameroonians,ካመራዊያን,gide
963,canadians,ካናዳዊያን,gide
964,cape verdeans,ኬፕቨርዳዊያን,gide
965,cayman islanders,ሳይማንያዊያን,gide
966,central africans,ማእከላይ ኣፍሪቃዊያን,gide
967,chadians,ጫዳዊያን,gide
968,chileans,ቺለዊያን,gide
969,chineses,ቻይናዊያን,gide
970,citizen of antigua and barbudas,ባርቡዳዊያን,gide
971,citizen of bosnia and herzegovinas,ሀርዞጎቪናዊያን,gide
972,citizen of guinea-bissaus,ጊኒቢሳዊያን,gide
973,citizen of kiribatis,ኪሪባቲያዊያን,gide
974,citizen of seychelless,ሲሸሊሳዊያን,gide
975,citizen of the dominican republics,ዶሚኒካዊያን,gide
976,citizen of vanuatus,ቫኑታዊያን,gide
977,colombians,ኮሎምቢያዊያን,gide
978,comorans,ኮሞራንያዊያን,gide
979,congolese (congo)s,ኮንጋዊያን,gide
980,congolese (drc)s,ኮንጎለሳዊያን,gide
981,cook islanders,ኮክኣይላንዳዊያን,gide
982,costa ricans,ኮስታሪካዊያን,gide
983,croatians,ክሮሽያዊያን,gide
984,cubans,ኩባዊያን,gide
985,cymraess,ሲምራስያዊያን,gide
986,cymros,ስይምራዊያን,gide
987,cypriots,ሳይፕሮይታዊያን,gide
988,czechs,ስዘቻዊያን,gide
989,danishs,ዳኒሻዊያን,gide
990,djiboutians,ጅቡታዊያን,gide
991,dominicans,ዶሚኒካዊያን,gide
992,dutchs,ነዘርላንዳዊያን,gide
993,east timoreses,ቲሞረሳዊያን,gide
994,ecuadoreans,ኢኳዶርያዊያን,gide
995,egyptians,ግብጻዊያን,gide
996,emiratis,ኢሚራታዊያን,gide
997,englishs,እንግሊዛዊያን,gide
998,equatorial guineans,ኢኳቶሪኣል ጊኒያን,gide
999,eritreans,ኤርትራዊያን,gide
1000,estonians,ኢስቶንያዊያን,gide
1001,ethiopians,ኢትዮጵያዊያን,gide
1002,faroeses,ፋሮስያዊያን,gide
1003,fijians,ፊጂያናዊያን,gide
1004,filipinos,ፍሊፒናዊያን,gide
1005,finnishs,ፊኒሻዊያን,gide
1006,frenchs,ፈረንሳዊያን,gide
1007,gaboneses,ጋቦናዊያን,gide
1008,gambians,ጋምብያዊያን,gide
1009,georgians,ጆርጅያዊያን,gide
1010,germans,ጀርመናዊያን,gide
1011,ghanaians,ጋናዊያን,gide
1012,gibraltarians,ጀበልጣርያዊያን,gide
1013,greeks,ግሪኻዊያን,gide
1014,greenlandics,ግሪንላንዳዊያን,gide
1015,grenadians,ግረናዲያናዊያን,gide
1016,guamanians,ጉማኒያናዊያን,gide
1017,guatemalans,ጓቲማላዊያን,gide
1018,guineans,ጒናዊያን,gide
1019,guyaneses,ጉያነሳዊያን,gide
1020,haitians,ሃይትያናዊያን,gide
1021,hondurans,ሆንዱራናዊያን,gide
1022,hong kongers,ሆንጎንጋዊያን,gide
1023,hungarians,ሃንጋሪያዊያን,gide
1024,icelandics,ኣይስላንዳዊያን,gide
1025,indians,ህንዳዊያን,gide
1026,indonesians,ኢንዶነጅያዊያን,gide
1027,iranians,ኢራናዊያን,gide
1028,iraqis,ዒራቓዊያን,gide
1029,irishs,ኣይሪሻዊያን,gide
1030,israelis,እስራኤላዊያን,gide
1031,italians,ኢታሊያዊያን,gide
1032,ivorians,ኣይቮሪያዊያን,gide
1033,jamaicans,ጀማይካዊያን,gide
1034,japaneses,ጃፓናዊያን,gide
1035,jordanians,ጆርዳናዊያን,gide
1036,kazakhs,ካዛክሃዊያን,gide
1037,kenyans,ከንያዊያን,gide
1038,kittitians,ኪቲሻናዊያን,gide
1039,kosovans,ኮሶቫዊያን,gide
1040,kuwaitis,ኩወታዊያን,gide
1041,kyrgyzs,ኪርጊዛዊያን,gide
1042,laos,ላዮዊያን,gide
1043,latvians,ላቲቪያዊያን,gide
1044,lebaneses,ሊባኖሳዊያን,gide
1045,liberians,ላይበርያዊያን,gide
1046,libyans,ሊብያዊያን,gide
1047,liechtenstein citizens,ሊኽተንስታዊያን,gide
1048,lithuanians,ሊትወንያዊያን,gide
1049,luxembourgers,ሉክሰንበርገራዊያን,gide
1050,macaneses,መካንያዊያን,gide
1051,macedonians,መሰዶንያዊያን,gide
1052,malagasys,ማላጋሲያዊያን,gide
1053,malawians,ማላዊያን,gide
1054,malaysians,ማለጅያዊያን,gide
1055,maldivians,ማልዲቭያዊያን,gide
1056,malians,ማላዊያን,gide
1057,malteses,ማልታዊያን,gide
1058,marshalleses,ማርሸላሳዊያን,gide
1059,martiniquaiss,ማርቲኒካዊያን,gide
1060,mauritanians,ማውሪታንያዊያን,gide
1061,mauritians,ማውሪታንያዊያን,gide
1062,mexicans,ሞክሲካዊያን,gide
1063,micronesians,ሚክሮኒጅያዊያን,gide
1064,moldovans,ሞልዶቫናዊያን,gide
1065,monegasques,ሞነጋስካዊያን,gide
1066,mongolians,ሞንጎልያዊያን,gide
1067,montenegrins,ሞንተነግሪያዊያን,gide
1068,montserratians,ሞንትሰራያዊያን,gide
1069,moroccans,ሞሮካዊያን,gide
1070,mosothos,ሞሶታዊያን,gide
1071,mozambicans,ሞዞምቢካዊያን,gide
1072,namibians,ናሚብያዊያን,gide
1073,nauruans,ናውራዊያን,gide
1074,nepaleses,ነፓላዊያን,gide
1075,new zealanders,ኒውዚላንዳዊያን,gide
1076,nicaraguans,ኒኮራጉያዊያን,gide
1077,nigerians,ኒጀራዊያን,gide
1078,nigeriens,ናይጀርያዊያን,gide
1079,niueans,ኒኡያዊያን,gide
1080,north koreans,ሰሜን ኮርያዊያን,gide
1081,northern irishs,ሰሜን ኣይሪሻዊያን,gide
1082,norwegians,ኖርወያዊያን,gide
1083,omanis,ኦማኒያዊያን,gide
1084,pakistanis,ፓኪስታናዊያን,gide
1085,palauans,ፓላዊያን,gide
1086,palestinians,ፍልስጠማዊያን,gide
1087,panamanians,ፓናማዊያን,gide
1088,papua new guineans,ፓፑ ኒውጊናዊያን,gide
1089,paraguayans,ፓራጓዊያን,gide
1090,peruvians,ፐሩቪያዊያን,gide
1091,pitcairn islanders,ፒትካርን ኣይላንደራዊያን,gide
1092,polishs,ፖላንዳዊያን,gide
1093,portugueses,ፖርቱጓላዊያን,gide
1094,prydeinigs,ፕራደኒጋዊያን,gide
1095,puerto ricans,ፖርቶሪካዊያን,gide
1096,qataris,ቀጠራዊያን,gide
1097,romanians,ሮማዊያን,gide
1098,russians,ሩስያዊያን,gide
1099,rwandans,ሩዋንዳዊያን,gide
1100,salvadoreans,ሳልቫዶርያዊያን,gide
1101,sammarineses,ሳማራዊያን,gide
1102,samoans,ሳሞናዊያን,gide
1103,sao tomeans,ሳኦቶማንያዊያን,gide
1104,saudi arabians,ሱዕዲዓረባዊያን,gide
1105,scottishs,ስኮታዊያን,gide
1106,senegaleses,ሰነጋላዊያን,gide
1107,serbians,ሰርብያዊያን,gide
1108,sierra leoneans,ሰራልዮናዊያን,gide
1109,singaporeans,ሲንጋፖራዊያን,gide
1110,slovaks,ስሎቫካዊያን,gide
1111,slovenians,ስሎቫንያዊያን,gide
1112,solomon islanders,ሰሎሞን ኣይላንደርያን,gide
1113,somalis,ሶማላዊያን,gide
1114,south africans,ደቡብ ኣፍሪቃዊያን,gide
1115,south koreans,ደቡብ ኮርያዊያን,gide
1116,south sudaneses,ደቡብ ሱዳናዊያን,gide
1117,spanishs,ስጳኛዊያን,gide
1118,sri lankans,ስሪላንካዊያን,gide
1119,st helenians,ሀለንያዊያን,gide
1120,st lucians,ሉሽያዊያን,gide
1121,statelesss,ስታትለስያን,gide
1122,sudaneses,ሱዳናዊያን,gide
1123,surinameses,ሱራኒማዊያን,gide
1124,swazis,ስዋዛዊያን,gide
1125,swedishs,ስዊድናዊያን,gide
1126,swisss,ስዊዛዊያን,gide
1127,syrians,ሶርያዊያን,gide
1128,taiwaneses,ታይዋናዊያን,gide
1129,tajiks,ታጅካዊያን,gide
1130,tanzanians,ታንዛንያዊያን,gide
1131,thais,ታያዊያን,gide
1132,togoleses,ቶጎለሳዊያን,gide
1133,tongans,ቶንጋናዊያን,gide
1134,trinidadians,ትሪንዳድያዊያን,gide
1135,tristanians,ትሪስታንያዊያን,gide
1136,tunisians,ቱኒዛዊያን,gide
1137,turkishs,ቱርካዊያን,gide
1138,turkmens,ቱርክማናዊያን,gide
1139,turks and caicos islanders,ቱርክስ ኣይላንደራዊያን,gide
1140,tuvaluans,ቱቫላዊያን,gide
1141,ugandans,ኡጋንዳዊያን,gide
1142,ukrainian s,ዩክረናዊያን,gide
1143,uruguayans,ኡራጓዊያን,gide
1144,uzbeks,ኡዝበካዊያን,gide
1145,vatican citizens,ቫቲካናዊያን,gide
1146,venezuelans,ቨነዝወላዊያን,gide
1147,vietnameses,ቨትናማዊያን,gide
1148,vincentians,ቪንሰንታዊያን,gide
1149,wallisians,ዋሊሳዊያን,gide
1150,welshs,ወልሻዊያን,gide
1151,yemenis,የመናዊያን,gide
1152,zambians,ዛምብያዊያን,gide
1153,zimbabweans,ዚምባብወዊያን,gide
1154,otherwise,ወይ ከኣ,gide
1155,soon,ብቕልጡፍ,gide
1156,all,ኩሉ,gide,
1157,information,ሓበሬታ,gide
1158,informations,ሓበሬታታት,gide