id,adverb,word_tigrina
1,beautifully,ብጽባቐ
2,boldly,ብትብዓት
3,bravely,ብትብዓት
4,calmly,ብህድኣት
5,carefully,ብጥንቃቐ
6,cautiously,ብጥንቃቐ
7,eagerly,ብሃንቀውታ
8,easily,ብቐሊሉ
9,elegantly,ብውቁብ መንገዲ
10,faithfully,ብተኣማንነት
11,frankly,ብግልጺ ክዛረብ እንተኾይነ
12,honestly,ብቕንዕና
13,joyously,ብሓጎስ
14,kindly,ብለውሃት
15,neatly,ብጽፉፍ
16,obediently,ብተኣዛዝነት
17,openly,ብግልጺ
18,patiently,ብትዕግስቲ
19,perfectly,ፍጹም
20,powerfully,ብሓይሊ
21,anxiously,ብጭንቀት
22,badly,ብሕማቕ
23,blindly,ብዓይነ ስውር
24,carelessly,ብዘይጥንቃቐ
25,cheerfully,ብሓጎስ
26,equally,ብማዕረ
27,frantically,ብፍርሒ
28,generously,ብለጋስነት
29,gently,ብህድኣት
30,gladly,ብሓጎስ
31,inadequately,ብዘይእኹል መንገዲ
32,justly,ብፍትሓዊ
33,lazily,ሰነፍ
34,madly,ብዕብዳን
35,politely,ብጭውነት
36,poorly,ሕማቕ
37,promptly,ብቕልጡፍ
38,quickly,ብቕልጡፍ
39,quietly,ስቕ ኢልካ
40,rapidly,ብቕልጡፍ
41,rudely,ብዘይግቡእ
42,selfishly,ርእሰ ፍትወት
43,shyly,ብሓፋር
44,tensely,ብውጥረት
45,violently,ብዓመጽ
46,well,ደሓን
47,angrily,ብሕርቃን
48,awkwardly,ብዘይሕንከት
49,cruelly,ብጭካነ
50,foolishly,ብዕሽነት
51,greedily,ብስስዐ
52,hastily,ብታህዋኽ
53,hungrily,ብጥሜት
54,irritably,ብሕርቃን
55,loudly,ዓው ኢልካ
56,nervously,ብነርቭ
57,noisily,ብጫውጫውታ
58,painfully,ብዘሕምም
59,recklessly,ብዘይግቡእ
60,roughly,ብግምት
61,sadly,እቲ ዘሕዝን
62,stupidly,ብዕሽነት
63,suspiciously,ብዘጠራጥር መንገዲ
64,almost,ዳርጋ
65,deeply,ብዕምቆት
66,enough,ይኣክል
67,extremely,ኣዝዩ
68,fully,ምሉእ ብምሉእ
69,greatly,ብዓቢኡ
70,how,ከመይ
71,incredibly,ንምእማኑ ዘጸግም
72,very,ብጣዕሚ
73,utterly,ፍጹም
74,totally,ጠቕላላ
75,too,"እንኮላይ"
76,scarcely,ሳሕቲ
77,really,ብሓቂ
78,rather,እንታይ ደኣ
79,pretty,ጽብቕቲ
80,practically,ብተግባር
81,positively,ኣወንታዊ መንገዲ
82,much,ብዙሕ
83,lots,ዕጫ
84,little,ንእሽቶ
85,least,ዝወሓደ
86,just,በቃ
87,intensely,ብጽዑቕ
88,highly,ብጣዕሚ
89,hardly,ብኸቢድ
90,far,ርሑቕ
91,fairly,ብፍትሓዊ መንገዲ
92,entirely,ምሉእ ብምሉእ
93,enormously,ብዓቢኡ
94,decidedly,ብውሳኔ
95,completely,ምሉእ ብምሉእ
96,barely,ብተጸጊሙ
97,awfully,ብዘስካሕክሕ
98,absolutely,ፍጹም
99,indeed,ብሓቂ
100,less,ውሑድ
101,most,ዝበዝሑ
102,nearly,ዳርጋ
103,purely,ጽሩይ
104,quite,ምሉእ ብምሉእ
105,simply,ብቐሊሉ
106,so,ስለዚ
107,somewhat,ብመጠኑ
108,strongly,ብትሪ
109,terribly,ብዘስካሕክሕ መንገዲ
110,thoroughly,ብዕምቆት
111,virtually,ብተግባር
112,along,ኣሎንግ
113,anywhere,ኣብ ዝኾነ ቦታ
114,back,ድሕሪት
115,behind,ብድሕሪት
116,here,ኣብዚ
117,indoors,ኣብ ውሽጢ ገዛ
118,inside,ውሽጢ
119,near,ኣብ ቀረባ
120,nearby,ኣብ ቀረባ
121,next door,ኣብ ጎረቤት
122,outside,ኣብ ደገ
123,right,የማን
124,towards,ናብ
125,over,ኣብ ልዕሊ
126,out,ወጺኡ
127,on,ኣብ
128,off,ምጥፋእ
129,in,ኣብ
130,fast,ቅልጡፍ
131,eventually,ኣብ መወዳእታ
132,elsewhere,ኣብ ካልእ ቦታታት
133,east,ምብራቕ
134,downstairs,ታሕተዋይ ደርቢ
135,down,ንታሕቲ
136,below,ኣብ ታሕቲ
137,backward,ንድሕሪት
138,backwards,ንድሕሪት
139,away,ርሑቕ
140,abroad,ኣብ ወጻኢ ሃገራት
141,above,ኣብ ላዕሊ
142,about,ብዛዕባ
143,overseas,ኣብ ወጻኢ ሃገራት
144,rightfully,ብግቡእ
145,somewhere,ኣብ ሓደ ቦታ
146,suddenly,ሃንደበት
147,there,ኣብኡ
148,tightly,ብጽኑዕ
149,under,ትሕቲ
150,underground,ትሕቲ መሬት
151,up,ላዕሊ
152,upstairs,ላዕለዋይ ደርቢ
153,always,ኩሉ ግዜ
154,busily,ብስራሕ ስራሕ
155,generally,ብሓፈሻ
156,hard,ተሪር
157,inquisitively,ብሓታቲ
158,never,ፈጺሙ
159,normally,ንቡር
160,occasionally,ሓሓሊፉ
161,often,መብዛሕትኡ ግዜ
162,quarterly,ርብዒ ዓመት
163,rarely,ሳሕቲ
164,regularly,ብስሩዕ
165,repeatedly,ተደጋጋሚ
166,seriously,ብዕቱብ
167,sharply,ሻርፕሊ
168,sometimes,ሓደ ሓደ ግዜ
169,speedily,ብቕልጡፍ
170,unexpectedly,ዘይተጸበናዮ
171,usually,መብዛሕትኡ ግዜ
172,almost never,ዳርጋ ፈጺሙ
173,constantly,ብቐጻሊ
174,continually,ብቐጻሊ
175,daringly,ብድፍረት
176,deliberately,ኮነ ኢልካ
177,exactly,ብልክዕ
178,fiercely,ብትሪ
179,frequently,ብተደጋጋሚ
180,hardly ever,ዳርጋ ፈጺሙ
181,infrequently,ብተደጋጋሚ
182,intermittently,ብተደጋጋሚ
183,later,ድሒሩ
184,loosely,ልሕሉሕ
185,mysteriously,ብምስጢር
186,now and then,ሕጂን ሽዑን
187,periodically,በብእዋኑ
188,reluctantly,ብዘይ ፍቓደኛ
189,seldom,ሳሕቲ
190,sleepily,ብድቃስ
191,slowly,ቀስ ብቐስ
192,solemnly,ብኽብሪ
193,swiftly,ብቕልጡፍ
194,then,ድሕሪኡ
195,weekly,ሰሙናዊ
196,accidentally,ብኣጋጣሚ
197,additionally,ብተወሳኺ
198,anyway,ብዝኾነ
199,as a consequence,ከም ሳዕቤኑ
200,as a result,ከም ውጽኢቱ
201,besides,ብዘይካዚ
202,consequently,ከም ሳዕቤኑ ድማ
203,furthermore,ብተወሳኺ
204,hurriedly,ብታህዋኽ
205,in additio,ብተወሳኺ
206,in the same way,ብተመሳሳሊ መንገዲ
207,moreover,ብተወሳኺ
208,nevertheless,እንተኾነ ግን
209,nonetheless,እንተኾነ ግን
210,on the other hand,ብኻልእ ወገን
211,otherwise,እንተዘይኮይኑ
212,unlike,ዘይከም
213,already,ድሮ
214,daily,መዓልታዊ
215,early,ኣብ መጀመርታ 2019 ዓ.ም
216,fortnightly,ኣብ ክልተ ሰሙን
217,immediately,ብቕጽበት
218,late,ደሓር 2019 ዓ.ም.
219,now,ሕጂ
220,similarly,ብተመሳሳሊ
221,straight,ትኽ ዝበለ
222,therefore,ስለዚ
223,today,ሎሚ
224,tonight,ሎሚ ምሸት
225,wrong,ጌጋ
226,wrongly,ብጌጋ
227,yesterday,ትማሊ 2019 ዓ.ም
228,annually,ዓመታዊ
229,finally,ኣብ መወዳእታ
230,first,ቀዳማይ
231,hourly,ሰዓት
232,last,ናይ መወዳእታ
233,next,ቀጺሉ
234,not until,ክሳብ ኣይኮነን
235,recently,ኣብ ቀረባ እዋን
236,since,ካብ
237,yearly,ዓመታዊ
238,before,ቅድሚ
239,doubtfully,ብዘጠራጥር
240,earlier,ቅድሚ ሕጂ
241,ever,ኤቨር
242,formerly,ቅድሚ ሕጂ
243,lately,ኣብዚ ዳሕረዋይ እዋን
244,luckily,ዕድል ኮይኑ
245,monthly,ወርሓዊ
246,previously,ቅድሚ ሕጂ
247,soon,ኣብ ቀረባ እዋን
248,spitefully,ብጽልኢ
249,still,ሕጂ እውን
250,tomorrow,ጽባሕ
251,unbelievably,ዘይእመን
252,yet,ግን
253,clearly,ብንጹር
254,definitely,ብርግጽ
255,fortunately,ዕድል ኣጋጣሚ ኮይኑ
256,hopefully,ተስፋ ንገብር
257,interestingly,እቲ ዝገርም
258,obviously,ብግልጺ
259,presumably,ክግመት
260,rightly,ትኽክል
261,surprisingly,ብዘገርም መንገዲ
262,unfairly,ብዘይፍትሓዊ መንገዲ
263,wisely,ብጥበብ
264,actually,ብሓቂ
265,apparently,ብግልጺ
266,astonishingly,ብዘገርም መንገዲ
267,bravely,ብትብዓት
268,doubtlessly,ዘይጥርጥር
269,ideally,ብዝበለጸ
270,incidentally,ኣጋጣሚ ኮይኑ
271,naturally,ብተፈጥሮኣዊ መንገዲ
272,probably,ምናልባት
273,undoubtedly,ዘይጥርጥር
274,basically,ብመሰረቱ
275,ultimately,ኣብ መወዳእታ
276,truthfully,ብሓቂ
277,theoretically,ብክልሰ-ሓሳብ
278,thankfully,ምስጋና ይግበኦ
279,strangely,እቲ ዝገርም
280,regrettably,እቲ ዘሕዝን
281,predictably,ብተገሚቱ
282,ironically,እቲ ዘገርም ግን
283,evidently,ብግልጺ
284,curiously,ብዘገርም መንገዲ
285,confidentially,ብሚስጢር
286,conceivably,ብዝሕሰብ
287,certainly,ብርግጽ
288,briefly,ብሕጽር ዝበለ
289,afterward,ድሕሪኡ
290,low,ትሑት
291,in fact,ብሓቂ
292,in contrast to,ብኣንጻር
293,thus,በዚ ኸምዚ
294,where,ኣበይ
295,even,ዋላ
296,in contrast,ብኣንጻሩ
297,in the event,ኣብቲ ፍጻመ
298,instead,ኣብ ክንድኡ
299,meanwhile,እዚ ከምዚ ኢሉ እንከሎ
300,quick,ቅልጡፍ
301,best,ብሉፅ
302,however,እንተኾነ ግን
303,likewise,ብተመሳሳሊ
304,long,ነዊሕ
305,more,ተወሳኺ
306,again,ሕጂ'ውን
307,better,ዝሓሸ
308,slow,ስሉጥ
309,accusingly,ብኸሰስ
310,arrogantly,ብትዕቢት
311,calmly,ህድኣት
312,carefully,ብጥንቃቐ
313,coaxingly,ብምትእምማን
314,crisply,ክሪስፕሊ
315,dangerously,ሓደገኛ
316,delicately,ብረቂቕ መንገዲ
317,desperately,ብተስፋ ምቑራጽ
318,diligently,ብትግሃት
319,dreamily,ብሕልሚ
320,enviously,ብቕንኢ
321,frightfully,ብዘፍርሕ
322,inadvertently,ብዘይ ፍላጥ
323,lawfully,ብሕጋዊ መንገዲ
324,nicely,ጽቡቕ
325,partially,ብኸፊል
326,quintessentially,ብመሰረቱ
327,reassuringly,ዘረጋግእ
328,regretfully,ብዘሕዝን
329,seemingly,መሲሉ
330,softly,ብልስሉስ
331,stubbornly,ብትሪ
332,triumphantly,ብዓወት
333,unhappily,ዘይሕጉስ መንገዲ
334,urgently,ብህጹጽ
335,wearily,ብድኻም
336,wildly,ብዱር
337,wonderingly,ብዘገርም መንገዲ
338,adversely,ብኣሉታ
339,amazingly,ብዘገርም መንገዲ
340,crossly,መስቀላዊ
341,disgustingly,ብዘጸይፍ መንገዲ
342,emptily,ብባዶ
343,excitedly,ብታሕጓስ
344,famously,ፍሉጥ
345,helpfully,ብሓጋዚ
346,importantly,ኣገዳሲ ነገር
347,impulsively,ብድፍኢት
348,marvelously,ብዘገርም መንገዲ
349,meaningfully,ትርጉሙ
350,rapturously,ብሃንቀውታ
351,readily,ብቐሊሉ
352,safely,ብውሑስ መንገዲ
353,thoughtfully,ብሓሳብ
354,understandingly,ብተረዲኡ
355,unwillingly,ብዘይደለየካ
356,willfully,ብፍቓድካ
357,worriedly,ብጭንቀት
358,queerly,ኲርሊ
359,abruptly,ሃንደበት
360,briskly,ብፍጥነት
361,coolly,ዝሑል
362,darkly,ጸሊም
363,dearly,ክቡር
364,deceivingly,ብምትላል
365,distinctly,ብፍሉይ
366,exclusively,ብፍሉይ
367,ferociously,ብጭካነ
368,freely,ብናጻ
369,gratefully,ምስጋና
370,heartily,ብልቢ
371,heavily,ብኸቢድ
372,innocently,ብንጽህና
373,mockingly,ብላግጺ
374,mostly,መብዛሕትኡ
375,negatively,ኣሉታዊ መንገዲ
376,oddly,ዘገርም
377,passionately,ፓስ
